QID,ProductID,Component,Role,RoleName,Level,OnboardingPhase,QuestionType,Question,WhyItMatters,AnswerSource,AnswerStatus,BlocksWork,ParentQID,FollowUps,SampleAnswerShape,AskedTo,AnsweredBy,AnswerDate,DocLink,Confidence
QWP0086,XCUT,MOSA Conformance,AI,AI/ML Engineer,L3 Senior,Month 1,Failure mode,"If the embedding model changes, what must be rebuilt across every deployment before retrieval can be trusted again?",A partially re-indexed fleet answers the same question differently in two enclaves with no signal that anything changed.,Architecture Review Report §O.2.3 item 3,Undocumented — no answer exists,AIA-01 model registry and index versioning,-,Is the index stamped with the embedding version? / How long does a full re-index take? / Who authorises it?,names index version stamping and a fleet-wide re-index procedure,,,,,
QWP0094,XCUT,MOSA Conformance,AI,AI/ML Engineer,L4 Architect,Quarter 1,Trade-off,"Should the local inference appliance's interface itself be an open contract, and what does saying yes cost the programme?",Welding model choice into four modules is the fastest way to make every enclave dependent on one vendor's serving stack.,Architecture Review Report §O-R5; §MOD-009,Partially documented,AIA-01.1 inference platform contracts,-,Does an OpenAI-compatible contract suffice? / What does it prevent us optimising? / Who owns the contract?,"argues from swap cost versus lost optimisation, and names a candidate contract shape",,,,,
QWP0105,XCUT,MOSA Conformance,AIG,AI Generalist,L4 Architect,Quarter 1,Emergent,"If data rights must be declared per artefact class, who owns the prompts, the eval sets and the fine-tuning data EdVidura produces?",AI artefacts are the least likely to be covered by a standard rights annex and the most expensive to recreate.,Architecture Review Report §O-R4; §O.2.4,Undocumented — no answer exists,PRG-06.1.03 data-rights register,QWP0087,Are eval sets deliverables? / Can the customer take the prompts? / What about SME-authored gold answers?,extends the artefact classes to AI-specific assets and takes a position on each,,,,,
QWP0080,XCUT,MOSA Conformance,BE,Back-End Developer,L1 Junior,Day 1,Standards,What does MOSA require of an EdVidura module boundary before that boundary counts as an open interface?,A developer who thinks naming a standard satisfies MOSA will ship a module whose boundary fails the conformance audit.,Architecture Review Report §O.1 (definition of open interface),Documented,PRG-06.1.01 contract publication audit,-,Is intent to use LTI 1.3 a published contract? / What does versioned mean here? / Where do contracts live?,"names published, versioned and third-party-implementable as the three tests",,,,,
QWP0081,XCUT,MOSA Conformance,BE,Back-End Developer,L1 Junior,Day 1,Orientation,"Where is an EdVidura interface contract published once it is approved, and who approves it?",Contracts that live in a squad's repository are invisible to consumers and to the conformance audit.,"Master Checklist v3 (PLT-05.1.01, PLT-05.1.02)",Partially documented,PLT-05.1.02 contract registry publish workflow,-,What formats does the registry hold? / Does the registry exist yet? / Who is the owner of record?,"names the registry, the artefact types and the approving role",,,,,
QWP0084,XCUT,MOSA Conformance,BE,Back-End Developer,L2 Mid,Week 1,Trade-off,What would have to be replaced alongside the LRS if a customer insisted on a different conformant learning record store?,A swap sold as a configuration change is actually a re-discovery project while the record model lives partly inside the incumbent store.,Architecture Review Report §O.2.2 (swap walkthrough A),Documented,PRG-06.2.02 LRS swap walkthrough,-,Where does raw-cleaned-official promotion logic live? / Do dashboards query LRS internals? / How is auth wired?,"lists the coupled artefacts, not just the endpoint configuration",,,,,
QWP0092,XCUT,MOSA Conformance,BE,Back-End Developer,L2 Mid,Week 1,Interface/Contract,What must happen in CI when a change to a published EdVidura contract is not backward compatible?,A silent breaking change deploys and every consumer built against the previous version fails in production.,"Master Checklist v3 (PLT-05.1.03, TST-02.1.02)",Partially documented,PLT-05.1.03 CI compatibility gates,-,Is the gate blocking or advisory? / Who can override? / Is there a deprecation window?,names the automated compatibility check and the version-bump obligation,,,,,
QWP0095,XCUT,MOSA Conformance,BI,BI / Analytics Developer (Metabase),L3 Senior,Month 1,Interface/Contract,"If dashboards query the record store's internal tables rather than a published mart schema, what breaks on a store swap?",Every dashboard becomes a hidden consumer of an internal schema nobody agreed to keep stable.,Architecture Review Report §O.2.2 item 3,Undocumented — no answer exists,ANA-01 mart schema publication,-,Is there a published mart schema? / Who owns it? / Are dashboard queries reviewed?,names the mart schema as the intended contract and states whether it exists,,,,,
QWP0112,XCUT,MOSA Conformance,BI,BI / Analytics Developer (Metabase),L3 Senior,Quarter 1,Emergent,"If the customer owns the dashboard definitions, what has to be true about how they are stored for that ownership to be real?",Ownership of a dashboard trapped inside a tool's internal database is ownership in name only.,Architecture Review Report §O.2.4; §O-R4,Undocumented — no answer exists,PRG-06.1.03 data-rights register,QWP0095,Are definitions exportable as text? / Are they version controlled? / Do they depend on tool-specific features?,"names exportable, source-controlled definitions and tool-independence limits",,,,,
QWP0101,XCUT,MOSA Conformance,DE,Data Engineer,L2 Mid,Week 1,Standards,"What is an xAPI profile in EdVidura's usage, and why does one need to exist before the record store can be swapped?","Without a written profile, statement shapes exist only in code and no replacement store can be validated against them.",Architecture Review Report §O.2.2 item 1; §P.2,Partially documented,MOD-002 xAPI profile set,-,Who owns the profile? / Is it versioned? / Are verbs registered anywhere?,"defines a profile as a published vocabulary plus constraints, and names its owner",,,,,
QWP0114,XCUT,MOSA Conformance,DE,Data Engineer,L2 Mid,Week 1,Data,Which EdVidura data would a successor supplier need on day one to keep learners' records intact?,A handover that omits evidence chains or competency mappings leaves the successor with numbers and no meaning.,Architecture Review Report §H.1; §O-R4,Undocumented — no answer exists,PRG-06.1.03 data-rights register,-,Which stores are in scope? / What format? / Who tests the handover?,"lists stores and their semantic dependencies, not just table names",,,,,
QWP0113,XCUT,MOSA Conformance,DE,Data Engineer,L4 Architect,Quarter 1,Emergent,At recompetition the customer asks for all their learning data in a portable form — what would we actually be able to hand over?,Discovering at handover that the official-record semantics live in our code is the moment the openness claim is tested.,Architecture Review Report §O.2.2; §H.2,Undocumented — no answer exists,PRG-06.1.03 data-rights register,QWP0114,Are statements portable? / Are promotion decisions portable? / Is the evidence chain portable?,distinguishes portable statements from non-portable derived semantics,,,,,
QWP0108,XCUT,MOSA Conformance,DEVOPS,DevSecOps / Platform Engineer,L2 Mid,Month 1,Emergent,How does an engineer working inside an enclave resolve a contract version if the contract registry is a connected service?,An enclave team building against a stale contract copy produces a module that fails conformance on return to the connected estate.,Master Checklist v3 (PLT-05.1.07),Partially documented,PLT-05.1.07 enclave registry copy in release bundle,QWP0081,Is the registry snapshot in the bundle? / How is drift detected? / What is the supported version window?,names the bundled snapshot and the drift-detection method,,,,,
QWP0089,XCUT,MOSA Conformance,DEVOPS,DevSecOps / Platform Engineer,L3 Senior,Month 1,Governance/Process,Which of EdVidura's core open-source dependencies has already had a licence or governance change that could repeat?,A licence change on a component embedded in every deployment forces an unplanned migration inside an accredited boundary.,Architecture Review Report §O.2.5 (OSS sustainability table),Partially documented,PRG-06.2.01 vendor-lock-in register and OSS sustainability review,-,Is there a licence-change watch? / What is the fallback for that component? / Is it forbidden as a source of truth?,names a dependency with a real precedent and the programme's stated fallback,,,,,
QWP0090,XCUT,MOSA Conformance,DEVOPS,DevSecOps / Platform Engineer,L4 Architect,Quarter 1,Trade-off,The learning record store is supplied by a small vendor and holds the system of record — what mitigations make that acceptable?,A narrow bus factor under the system of record is a single supplier failure away from an unrecoverable data position.,"Architecture Review Report §O.2.5 (LRS row, P1)",Partially documented,PRG-06.2.02 LRS swap walkthrough,-,Is a second conformant store validated annually? / Is portability tested at profile level? / What is the exit cost?,"names portability testing and a validated alternate, not a contractual assurance",,,,,
QWP0281,XCUT,MOSA Conformance,FE,Front-End Developer,L1 Junior,Day 1,Orientation,Where would a front-end developer look up the current version of the interface they are building against?,A developer working from a colleague's example rather than the published contract implements last quarter's behaviour.,"Master Checklist v3 (PLT-05.1.01, PLT-05.1.02)",Partially documented,PLT-05.1.02 contract registry publish workflow,-,Does the registry exist yet? / How do I know a version is current? / Who do I ask about a gap in it?,"names the registry and the version marker, or states that examples are the current practice",,,,,
QWP0109,XCUT,MOSA Conformance,FE,Front-End Developer,L2 Mid,Week 1,Emergent,How does a front-end developer build against a published EdVidura contract before the back-end service exists?,"Without a stub from the contract, front-end work waits on back-end delivery and the slice never ships end to end.",Architecture Review Report §J.1 (component tier stubs); Master Checklist v3 (PLT-05.1.05),Partially documented,PLT-05.1.04 conformance-suite convention,QWP0091,Does the contract ship a mock? / Is the mock kept in sync? / Who maintains it?,names a contract-generated stub and its maintenance owner,,,,,
